date,region,channel,revenue
2026-05-29,NA,Paid Search,6602.48
2026-05-29,NA,Organic,5189.19
2026-05-29,NA,Referral,3789.7
2026-05-29,EMEA,Paid Search,4035.79
2026-05-29,EMEA,Organic,3810.93
2026-05-29,EMEA,Referral,2643.07
2026-05-29,APAC,Paid Search,3431.83
2026-05-29,APAC,Organic,2622.42
2026-05-29,APAC,Referral,1941.04
2026-05-30,NA,Paid Search,5972.52
2026-05-30,NA,Organic,5363.18
2026-05-30,NA,Referral,3934.57
2026-05-30,EMEA,Paid Search,3902.9
2026-05-30,EMEA,Organic,3495.06
2026-05-30,EMEA,Referral,2632.04
2026-05-30,APAC,Paid Search,3252.42
2026-05-30,APAC,Organic,2682.4
2026-05-30,APAC,Referral,1993.67
2026-05-31,NA,Paid Search,6276.06
2026-05-31,NA,Organic,4789.41
2026-05-31,NA,Referral,3818.11
2026-05-31,EMEA,Paid Search,4033.96
2026-05-31,EMEA,Organic,3313.1
2026-05-31,EMEA,Referral,2248.81
2026-05-31,APAC,Paid Search,3208.73
2026-05-31,APAC,Organic,2532.02
2026-05-31,APAC,Referral,1701.41
2026-06-01,NA,Paid Search,5594.14
2026-06-01,NA,Organic,5489.12
2026-06-01,NA,Referral,3700.41
2026-06-01,EMEA,Paid Search,4102.14
2026-06-01,EMEA,Organic,3524.97
2026-06-01,EMEA,Referral,2393.8
2026-06-01,APAC,Paid Search,3216.34
2026-06-01,APAC,Organic,2549.47
2026-06-01,APAC,Referral,1835.15
2026-06-02,NA,Paid Search,6295.17
2026-06-02,NA,Organic,5298.61
2026-06-02,NA,Referral,3850.66
2026-06-02,EMEA,Paid Search,3958.39
2026-06-02,EMEA,Organic,3511.29
2026-06-02,EMEA,Referral,2207.05
2026-06-02,APAC,Paid Search,2859.83
2026-06-02,APAC,Organic,2512.39
2026-06-02,APAC,Referral,1697.64
2026-06-03,NA,Paid Search,5724.33
2026-06-03,NA,Organic,4868.03
2026-06-03,NA,Referral,3510.69
2026-06-03,EMEA,Paid Search,3994.88
2026-06-03,EMEA,Organic,3326.47
2026-06-03,EMEA,Referral,2330.56
2026-06-03,APAC,Paid Search,2851.03
2026-06-03,APAC,Organic,2503.06
2026-06-03,APAC,Referral,1947.15
2026-06-04,NA,Paid Search,6121.64
2026-06-04,NA,Organic,5290.8
2026-06-04,NA,Referral,3448.47
2026-06-04,EMEA,Paid Search,4053.34
2026-06-04,EMEA,Organic,3216.89
2026-06-04,EMEA,Referral,2334.1
2026-06-04,APAC,Paid Search,3224.19
2026-06-04,APAC,Organic,2658.24
2026-06-04,APAC,Referral,1836.58
2026-06-05,NA,Paid Search,6649.17
2026-06-05,NA,Organic,5924.07
2026-06-05,NA,Referral,4104.8
2026-06-05,EMEA,Paid Search,4039.73
2026-06-05,EMEA,Organic,3397.1
2026-06-05,EMEA,Referral,2494.5
2026-06-05,APAC,Paid Search,3109.2
2026-06-05,APAC,Organic,2678.15
2026-06-05,APAC,Referral,2104.89
2026-06-06,NA,Paid Search,6847.32
2026-06-06,NA,Organic,5449.48
2026-06-06,NA,Referral,4028.97
2026-06-06,EMEA,Paid Search,4152.28
2026-06-06,EMEA,Organic,3915.55
2026-06-06,EMEA,Referral,2553.48
2026-06-06,APAC,Paid Search,3107.72
2026-06-06,APAC,Organic,2694.16
2026-06-06,APAC,Referral,1984.9
2026-06-07,NA,Paid Search,5752.99
2026-06-07,NA,Organic,5270.38
2026-06-07,NA,Referral,3871.69
2026-06-07,EMEA,Paid Search,3847.06
2026-06-07,EMEA,Organic,3247.31
2026-06-07,EMEA,Referral,2569.46
2026-06-07,APAC,Paid Search,2994.56
2026-06-07,APAC,Organic,2429.82
2026-06-07,APAC,Referral,1688.12
2026-06-08,NA,Paid Search,5606.51
2026-06-08,NA,Organic,5306.04
2026-06-08,NA,Referral,3810.11
2026-06-08,EMEA,Paid Search,3861.3
2026-06-08,EMEA,Organic,3162.56
2026-06-08,EMEA,Referral,2334.92
2026-06-08,APAC,Paid Search,3227.34
2026-06-08,APAC,Organic,2612.11
2026-06-08,APAC,Referral,1957.18
2026-06-09,NA,Paid Search,6325.19
2026-06-09,NA,Organic,4793.55
2026-06-09,NA,Referral,3768.55
2026-06-09,EMEA,Paid Search,4023.68
2026-06-09,EMEA,Organic,3420.11
2026-06-09,EMEA,Referral,2291.21
2026-06-09,APAC,Paid Search,3057.44
2026-06-09,APAC,Organic,2438.41
2026-06-09,APAC,Referral,1801.0
2026-06-10,NA,Paid Search,5935.72
2026-06-10,NA,Organic,5577.57
2026-06-10,NA,Referral,3858.9
2026-06-10,EMEA,Paid Search,3761.98
2026-06-10,EMEA,Organic,3400.32
2026-06-10,EMEA,Referral,2257.63
2026-06-10,APAC,Paid Search,3187.4
2026-06-10,APAC,Organic,2754.14
2026-06-10,APAC,Referral,1761.31
2026-06-11,NA,Paid Search,6112.95
2026-06-11,NA,Organic,5290.66
2026-06-11,NA,Referral,3437.81
2026-06-11,EMEA,Paid Search,4074.23
2026-06-11,EMEA,Organic,3421.42
2026-06-11,EMEA,Referral,2486.1
2026-06-11,APAC,Paid Search,3004.52
2026-06-11,APAC,Organic,2392.24
2026-06-11,APAC,Referral,1768.79
